,Monday,,Tables,Chairs,,,,,,,,,,
1,Monday am,Carlsbad Caverns Listening,1,20,,,,,,,,,,
1,Monday am,Intro to Sketching class,1,23,23 student chairs; Needs a cave for in-cave practice,,,,,,,,,
1,Monday am,Explorers Club Session,1,50,,,,,,,,,,
1,Monday lunch,Pod-cast in Auditorium,1,2,,,,,,,,,,
1,Monday pm,NCRC,1,30,White board & Markers,,,,,,,,,
1,Monday pm,Cave Conservancy Roundtable,1,30,Student chairs,,,,,,,,,
1,Monday pm,Communications  & Electronics,1,30,,,,,,,,,,
1,Monday pm,Vertical Training Commission,1,30,,,,,,,,,,
1,Mon,Vertical climbing,6,8,,,,,,,,,,
1,Monday,Fine Arts Opening,,,,,,,,,,,???,
1,Monday all day,BOG meeting,4,30,,,,,,,,,,
1,Monday All day,Speleology for Cavers,1,45,,,,,,,,,"45 student chairs; Water for breaks; lunch/drinks/ staff t-shirts (1@2x, 2@l, 2@M)",
,,,18,253,,,,,,,,,,
,,,,,,,,,,,,,,
,Tuesday,,Tables,Chairs,,,,,,,,,,
2,Yoga am,Yoga,,,Quiet room that can hold up to 20 with yoga maps - 24 inches wide by 68 inches long with a 24 inch buffer between people,,,,,,,,,
,Tuesday am,Coffee & Karst,2,`12,,,,,,,,,,
2,Tuesday am,Speleothem repair,1,40,,,,,,,,,"There will be a cost of $30 per partiipant which will include a copy of Michael Mansur's Book, ""The Cave Formation Repair Project: Restoring the Beauty of America's Great Caves""",Needs a cave with broken speleothems
,Tuesday am,Discover Vertical caving,1,20,,,,,,,,,claassroom lecture & hands on in gym,
,Tuesday am,Cavers against harrasment,,30,,,,,,,,,,
,Tuesday am,Interagency Meeting,,20,,,,,,,,,,
2,Tuesday pm,Convention planning,,20,,,,,,,,,,
2,Tues- all dy,Video Salon Self Serve Kiosk,1,6,110vac power outlet for TV,wants high traffic area - would like to be by FineArts,,,,,,,,
2,Tuesday  all day,Cave Conservtion & Science,1,80,,,,,,,,,,
2,Tuesday all day,Vertical Climbing Contest,6,8,,,,,,,,,,
2,Tuesday - evening,Fellows Reception,,,,,,,,,,,????,
,,,12,224,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Tables,Chairs,,,,,,,,,,
,Wednesday am,Coffee & Karst,2,8,,,,,,,,,,
3,Wed am,Cave Digging session,1,40,,,,,,,,,,
,Wed. am,Speleothem repair,,,In cave,,,,,,,,,
3,Wednesday am,Caving and Culture,1,50,,,,,,,,,,
3,Wednesday am,NPS Cave Managers Meeting,1,20,,,,,,,,,,
,Wednesday am,Discover Vertical Caving,1,20,,,,,,,,,,
3,Wed pm,Congress of Grottos,3,100,They want seating for 100 (chairs),,,,,, , ,,
3,Wed pm,Speleophilatelic  meeting,,15,,,,,,,,,,
,Wed All day,Video Salon Self Serve Kiosk,1,6,110vac power outlet for TV,wants high traffic area - would like to be by FineArts,,,,,,,,
,Wednesday All day,Vertical Climbing Contest,6,8,,,,,,,,,,
,Wedneday all day,Biospeleology Session,1,75,,,,,,,,,,
3,Wednesday - evening,Auction,8,75,"Needs audio, good lighting",,,,,,,,,
,,,25,417,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,
4,Thursday am,Yoga,,,Quiet room that can hold up to 20 with yoga maps - 24 inches wide by 68 inches long with a 24 inch buffer between people,,,,,,,,,
4,Thursday am,Spelean History,1,75,,,,,,,,,,
4,Thursday am,Planned giving,,20,,,,,,,,,,
4,Thursday am,State Cave Surveys,1,30,,,,,,,,,,
,Thurs-lunch,NCKMS, ,20,,,,,,,,,,
,Thursday  pm,Awards Committee, ,20,,,,,,,,,,
4,Thursday pm,Convention Debrief,,30, ,,,,,,,,,
4,Thursday pm,NSS Preserves,1,30,,,,,,,,,,
4,Thursday pm,Photo Session,1,20,,,,,,,,,,
4,Thursday pm,Sketching contest,1,1,,,,,,,,,,
4,Thursdy pm,Archeo & Paleo,1,40,,,,,,,,,,
,Thursday all day,Vertical session all day,1,50,,,,,,,,,,
,Thurs all day,Video Salon Self Serve Kiosk,1,6,110vac power outlet for TV,wants high traffic area - would like to be by FineArts,,,,,,,,
,Thursday - evening,Story Telling,1,150,"Wants similar set up as last year  150 chairs, table for judges",,,,,,,,,
,,,9,492,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Fri am,Cartography Salon critique,1,2,,,,, , ,,,,
5,Friday am,Cave Writers workshop,1,20,,,,,,,,,,
5,Friday am,Video Salon Veiwing Session,,25,small audotirum with arge up front screen and good audio,,,,,, ,,,
,Friday am,Various salons want to be near Fine arts,,,,,,,,,,,,
5,Friday lunch,Pod cast in Audotirum,1,2,,,,,,,,,,
,Friday - lunch,Pod cast - Auditorium stage,1,2,,,,,,,,,,
,Friday pm,Survey & Cartography,1,75,,,,,,,,,,
,Friday pm,Collegiate Grotto Challenges,,20,,,,,,,,,,
,Friday All day,NSF Trustees Committee,1,15,,,,,,,,,,
5,Friday all day ,BOG all day,4,30,,,,,,,,,,
,,,10,191,,,,,,,,,,
