,MONDAY ,,,,,time,Event,Tables,Chairs,,,Tables & chairs needed
,Event,Time,Where,,,,,,,,Needs resolution,
Morningn,Opening Ceremony,8:30 -9:00 ,?,,,am,Opening Ceremony,,,,ALL DAY EVENT,
,BOG Open Meeting,9:00-Noon,114,,,ALL DAY,BOG Open Meeting,3,12,,,
,"Cave Exploation of the Ohio Valley Region: Indiana, Ohio, Kentucky",9:00-Noon,Auditorium,,,ALL DAY,In main auditorium so no tables or chairs needed,,,,,
,Introduction to Sketching: Digital and Paper,9:00-Noon,205,,,am,Intro to Sketching class,1,23,,,
,Speleology for Cavers,9:00-Noon,254,,,ALL DAY,Speleology for Cavers,1,45,"45 student chairs; Water for breaks; lunch/drinks/ staff t-shirts (1@2x, 2@l, 2@M)",,
,Carlsbad Caverns Listening Sesion,9:00-noon,154,,,am,Carlsbad Caverns Listening,1,20,,,
,Explores Club Session,9:00-Noon,102,,,am,Explorers Club Session,1,50,,,
,,,,,,,,7,150,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Tables,Chairs,,,
Lunch,BOG Lunch (Closed),Noon-2:00,114,,,Lunch,BOG Open Meeting,4,30,,,
,Speleology Class Lunch,Noon-1:00,254,,,Lunch,Speleology for Cavers,same as morning,,,,
,Vertical Climbing Contests,12:30 start,Junior High Gym,,,No Lunch Start of climbing contests,Vertical Climbing contests,6,8,,,
,Communications & Electronics,12:30-2:00,154,,,No lunch ,Communications & Electronics,1,30,,,
,10 Years of The Caving Podcast (Indiana focus),Noon-1:00,Auditorium,,,No lunch - PODCAST,Pod-cast in Auditorium,1,2,,,
,,,,,,,,6,70,,,
,,,,,,,,,,,,
Afternoon,Fine Arts Salon Opening,12:00-2:00,Library,,,pm,Fine Arts,,,Contact Fine Arts Coordinator,,
,BOG Meeting (Closed),2:00 - 5:00,114,,,pm,BOG Open Meeting,4,30,,,
,Vertical Climbing Contetsts,1:00-5:00,Jr. High gym,,,pm,Vertical Climbing contests,6,8,,,
,"Cave Exploation of the Ohio Valley Region: Indiana, Ohio, Kentucky",1:00-5:00,Auditorium,,,ALL DAY,In main auditorium so no tables and chairs needed,,,,,
,Speleology for Cavers,1:00-5:00,254,,,All day,Speleology for Cavers,Same as morning,,,,
,"Vertical Training Commission (VTC)  (30 seats, 1 table)",1:00-4:00,205,,,pm,Vertical Training Commission,1,30, ,,
,Communications & Electronic Session,2:00-5:00,112,,,pm,Communications & Electronics,1,30,,,
,In-Cave sketching -paper & Digital,1:00-5:00,in-cave,,,pm,Sketching class,IN-CAVE,,Needs a cave for in-cave practice,,
,Cave Conservancy Roundtable,1:00-4:00,102,,,pm,Cave Conservancy Roundtable,1,30,Student chairs,,
,NCRC Annual Meeting,1:00-5:00,110,,,pm,NCRC,1,30,White board & Markers,,
,,,,,,,,4,120,,,
,,,,,,,,,,,,
Evening,Howdy Party Dinner           ,6:30 - Midnight,Campgound,,, ,,,,,,
