,Multi-day and Week-long events:,,,,,,,,,,,,,,,,,,,
 ,All week:,  Fine Arts Salon:  Library,Junior Speleological Society,Band Room,,  Caver Co-Op:,TBD,Balad Listening Kiosk:  LOC,,,Video Kiosk: LOC,,, Vendors:  Auxillary Gym ,,Quiet Room:  228  ,,NSS Bookstore:  TBD,Cartography Salon:  Aux. Gym Catwalk,
,Mon & Tues.,Sketching contest -in-cave,CaveSim - ,Next to registration,,,,,,,,,,,,,,,,
,Vendors Schedule:  Monday 8-5; Tues-Wed-Thursday 8 to 8; Friday 8-12,,,,,,,,,,,,,,,,,,,
,NSS 2026  PRELIMINARY CONVENTION SCHEDULE,,,,,,,,,,,,,,,,,,,
,,MONDAY ,,,,TUESDAY,,,,WEDNESDAY ,,,,THURSDAY ,,,,FRIDAY ,,
,,Event,Time,Where,,Event,Time,Where,,Event,Time,Where,,Event,Time,Where,,Event,Time,Where
,Morning,Opening Ceremony,8:30 -9:00 ,TBA,,Yoga,8:00-9:00, TBA,,Coffee & Karst,8:00-9:00,Registration Hallway,,Yoga,8:00-9:00,TBD,,Yoga,8:00-9:00, TBD
,,BOG Open Meeting,9:00-Noon,104,,Coffee & Karst,8:00-9:00,Registration Hallway,,International Exploration,9:00-Noon,Auditorium,,Geology  and Geography ,9:00-Noon,Auditorium,,BOG Meeting,9:00-Noon,104
,,"Cave Exploration of the Ohio Valley Region: Indiana, Ohio, Kentucky",9:00-Noon,Auditorium,,US Exploration,9:00-Noon,Auditorium,,Biospeleology Session,9:00-Noon,205,,Spelean History ,9:00-Noon,205,,Video Salon Viewing,9:00 - Noon,Auditorium
,,Introduction to Sketching: Digital and Paper,9:00-Noon,205,,Cave Conservation & Science,9:00-Noon,205,,Speleothem Repair Workshop Part II,9:00-Noon,in-cave,,Planned Giving,9-Noon,112,,Fine Art Salon Critique,9:00-10:00,Library
,,Speleology for Cavers,9:00-Noon,254,,Speleothem Repair    Workshop,9:00-Noon,254,,Cave Digging Section,9:00-Noon,254,,State Cave Surveys,9-Noon,102,,Cartographic Salon Critique,10:00-Noon,Cart Salon site
,,Carlsbad Caverns Listening Session,9:00-noon,154,,Cavers Against Sexual Harassment,9:00-Noon,154,,Discover Vertical Caving,9:00-Noon,100,,Vertical Section session,9-Noon,254,,Photo Salon Critique,10:00-Noon,Library
,,Explorers Club Session,9:00-Noon,102,,Discover Vertical Caving,8:30-12:30,100,,Caving & Culture,9:00-Noon,102,,Paleontology,9-Noon,TBD,,Print Salon Critique,10:00-Noon,Library
,,,,,,Photo Workshop,9:00-Noon,in-cave,,NPS Cave Managers Meeting,9:00-Noon,112,,Contingency Vertical Workshop,8:00-Noon,Junior High Gym,,Cave Ballad Salon Critique,10:00-Noon,Library
,,,,,,Interagency Meeting,9:00-Noon,102,,,,,,,,,,Cave Writers  Workshop,9:00-Noon,154
,,,,,,,,,,,,,,,,,,NSF Trustees Meeting (open),9:00-Noon,112
,,,,,,,,,,,,,,,,,,,,
,Lunch,BOG Lunch (Closed),Noon-2:00,104,,Luminary Speaker:  Cat & Charlie Bishop ,12:30-1:30,Auditorium,,Luminary Speaker: Jill Yager,12:30-1:30,Auditorium,,Luminary Speaker: Gordon Smith    ,12:30-1:30,Auditorium,,Survey & Cartography Session ,Noon-1:00,205
,,Speleology Class Lunch,Noon-1:00,254,,Cave Conservation & Science,Noon-1:00,205,,Biospeleology,1:00-2:00,205,,Geology and Geography meeting,1:30-2:30,Auditorium,,Arts and Letters Lunch,Noon-1:00,154
